,fichier,type,set,anomalie,machine,x,y,z
0,dataset/ToyCar/train/normal_id_02_00000226.wav,ToyCar,train,non,ToyCar_02,2850.2966,417.9384,-324.8661
1,dataset/ToyCar/train/normal_id_04_00000798.wav,ToyCar,train,non,ToyCar_04,2563.7495,400.1568,-230.64685
2,dataset/ToyCar/train/normal_id_03_00000809.wav,ToyCar,train,non,ToyCar_03,2136.811,8.35122,-41.500053
3,dataset/ToyCar/train/normal_id_04_00000533.wav,ToyCar,train,non,ToyCar_04,2553.7002,64.91706,-108.87629
4,dataset/ToyCar/train/normal_id_03_00000495.wav,ToyCar,train,non,ToyCar_03,2273.8586,18.654507,-42.887867
5,dataset/ToyCar/train/normal_id_04_00000988.wav,ToyCar,train,non,ToyCar_04,2769.981,518.7403,-356.749
6,dataset/ToyCar/train/normal_id_02_00000280.wav,ToyCar,train,non,ToyCar_02,2757.7378,153.23268,-155.96773
7,dataset/ToyCar/train/normal_id_04_00000162.wav,ToyCar,train,non,ToyCar_04,3052.1384,356.5539,-284.6992
8,dataset/ToyCar/train/normal_id_01_00000059.wav,ToyCar,train,non,ToyCar_01,1882.5466,83.85671,1.0575008
9,dataset/ToyCar/train/normal_id_03_00000490.wav,ToyCar,train,non,ToyCar_03,2548.9465,100.799675,-105.22331
10,dataset/ToyCar/train/normal_id_01_00000254.wav,ToyCar,train,non,ToyCar_01,2328.3193,51.569725,-62.99537
11,dataset/ToyCar/train/normal_id_02_00000940.wav,ToyCar,train,non,ToyCar_02,3039.993,605.64014,-404.3425
12,dataset/ToyCar/train/normal_id_02_00000787.wav,ToyCar,train,non,ToyCar_02,2729.9238,574.69446,-378.60345
13,dataset/ToyCar/train/normal_id_03_00000025.wav,ToyCar,train,non,ToyCar_03,2143.247,-29.20132,20.478504
14,dataset/ToyCar/train/normal_id_01_00000177.wav,ToyCar,train,non,ToyCar_01,2140.834,100.06997,-15.936818
15,dataset/ToyCar/train/normal_id_01_00000086.wav,ToyCar,train,non,ToyCar_01,2505.6763,60.628372,-65.40929
16,dataset/ToyCar/train/normal_id_01_00000298.wav,ToyCar,train,non,ToyCar_01,2366.429,129.38565,-96.968636
17,dataset/ToyCar/train/normal_id_02_00000417.wav,ToyCar,train,non,ToyCar_02,2597.5452,404.53543,-260.06705
18,dataset/ToyCar/train/normal_id_03_00000802.wav,ToyCar,train,non,ToyCar_03,2312.636,139.77144,-79.188965
19,dataset/ToyCar/train/normal_id_02_00000076.wav,ToyCar,train,non,ToyCar_02,2977.9697,580.54285,-401.12936
20,dataset/ToyCar/train/normal_id_02_00000540.wav,ToyCar,train,non,ToyCar_02,2747.079,248.59035,-196.88281
21,dataset/ToyCar/train/normal_id_03_00000707.wav,ToyCar,train,non,ToyCar_03,2461.3425,35.766056,-56.84647
22,dataset/ToyCar/train/normal_id_03_00000030.wav,ToyCar,train,non,ToyCar_03,1978.3668,1.2302744,70.461136
