,algo,anormal_detect,anormal_size,component,gamma,machine,normal_detect,normal_size,nu,sensibilite,specificite,type
0,OSVM,18.0,265.0,2.0,0.001,ToyCar_03,349.0,350.0,0.0001,0.06792452830188679,0.9971428571428571,ToyCar
1,OSVM,46.0,265.0,2.0,0.001,ToyCar_03,342.0,350.0,0.020929166666666665,0.17358490566037735,0.9771428571428571,ToyCar
2,OSVM,69.0,265.0,2.0,0.001,ToyCar_03,325.0,350.0,0.041758333333333335,0.26037735849056604,0.9285714285714286,ToyCar
3,OSVM,78.0,265.0,2.0,0.001,ToyCar_03,317.0,350.0,0.0625875,0.2943396226415094,0.9057142857142857,ToyCar
4,OSVM,84.0,265.0,2.0,0.001,ToyCar_03,313.0,350.0,0.08341666666666667,0.3169811320754717,0.8942857142857142,ToyCar
5,OSVM,88.0,265.0,2.0,0.001,ToyCar_03,302.0,350.0,0.10424583333333333,0.3320754716981132,0.8628571428571429,ToyCar
6,OSVM,98.0,265.0,2.0,0.001,ToyCar_03,293.0,350.0,0.125075,0.36981132075471695,0.8371428571428572,ToyCar
7,OSVM,105.0,265.0,2.0,0.001,ToyCar_03,287.0,350.0,0.14590416666666664,0.39622641509433965,0.82,ToyCar
8,OSVM,111.0,265.0,2.0,0.001,ToyCar_03,278.0,350.0,0.16673333333333332,0.4188679245283019,0.7942857142857143,ToyCar
9,OSVM,115.0,265.0,2.0,0.001,ToyCar_03,273.0,350.0,0.1875625,0.4339622641509434,0.78,ToyCar
10,OSVM,118.0,265.0,2.0,0.001,ToyCar_03,267.0,350.0,0.20839166666666664,0.44528301886792454,0.7628571428571429,ToyCar
11,OSVM,125.0,265.0,2.0,0.001,ToyCar_03,257.0,350.0,0.22922083333333332,0.4716981132075472,0.7342857142857143,ToyCar
12,OSVM,130.0,265.0,2.0,0.001,ToyCar_03,248.0,350.0,0.25005,0.49056603773584906,0.7085714285714285,ToyCar
13,OSVM,135.0,265.0,2.0,0.001,ToyCar_03,241.0,350.0,0.27087916666666667,0.5094339622641509,0.6885714285714286,ToyCar
14,OSVM,144.0,265.0,2.0,0.001,ToyCar_03,229.0,350.0,0.2917083333333333,0.5433962264150943,0.6542857142857142,ToyCar
15,OSVM,151.0,265.0,2.0,0.001,ToyCar_03,220.0,350.0,0.31253749999999997,0.569811320754717,0.6285714285714286,ToyCar
16,OSVM,155.0,265.0,2.0,0.001,ToyCar_03,217.0,350.0,0.33336666666666664,0.5849056603773585,0.62,ToyCar
17,OSVM,163.0,265.0,2.0,0.001,ToyCar_03,209.0,350.0,0.3541958333333333,0.6150943396226415,0.5971428571428572,ToyCar
18,OSVM,165.0,265.0,2.0,0.001,ToyCar_03,205.0,350.0,0.375025,0.6226415094339622,0.5857142857142857,ToyCar
19,OSVM,170.0,265.0,2.0,0.001,ToyCar_03,200.0,350.0,0.3958541666666666,0.6415094339622641,0.5714285714285714,ToyCar
20,OSVM,171.0,265.0,2.0,0.001,ToyCar_03,195.0,350.0,0.4166833333333333,0.6452830188679245,0.5571428571428572,ToyCar
21,OSVM,176.0,265.0,2.0,0.001,ToyCar_03,182.0,350.0,0.43751249999999997,0.6641509433962264,0.52,ToyCar
22,OSVM,183.0,265.0,2.0,0.001,ToyCar_03,171.0,350.0,0.45834166666666665,0.690566037735849,0.48857142857142855,ToyCar
23,OSVM,188.0,265.0,2.0,0.001,ToyCar_03,157.0,350.0,0.4791708333333333,0.7094339622641509,0.44857142857142857,ToyCar
24,OSVM,189.0,265.0,2.0,0.001,ToyCar_03,152.0,350.0,0.5,0.7132075471698113,0.4342857142857143,ToyCar
25,OSVM,165.0,265.0,2.0,0.001,ToyCar_04,347.0,350.0,0.0001,0.6226415094339622,0.9914285714285714,ToyCar
26,OSVM,191.0,265.0,2.0,0.001,ToyCar_04,341.0,350.0,0.020929166666666665,0.720754716981132,0.9742857142857143,ToyCar
27,OSVM,206.0,265.0,2.0,0.001,ToyCar_04,330.0,350.0,0.041758333333333335,0.7773584905660378,0.9428571428571428,ToyCar
