,fichier,type,set,anomalie,machine,x,y,z
0,dataset/ToyCar/train/normal_id_03_00000780.wav,ToyCar,train,non,ToyCar_03,1542.5626,-36.702763,69.17915
1,dataset/ToyCar/train/normal_id_04_00000927.wav,ToyCar,train,non,ToyCar_04,2567.0212,357.42984,-180.84067
2,dataset/ToyCar/train/normal_id_04_00000011.wav,ToyCar,train,non,ToyCar_04,2982.3164,433.26636,-310.86462
3,dataset/ToyCar/train/normal_id_04_00000643.wav,ToyCar,train,non,ToyCar_04,2551.627,359.95963,-221.13768
4,dataset/ToyCar/train/normal_id_01_00000892.wav,ToyCar,train,non,ToyCar_01,1771.4625,114.84551,4.2803707
5,dataset/ToyCar/train/normal_id_03_00000254.wav,ToyCar,train,non,ToyCar_03,1632.3391,-132.98575,160.0769
6,dataset/ToyCar/train/normal_id_03_00000184.wav,ToyCar,train,non,ToyCar_03,2385.498,67.19481,-66.46691
7,dataset/ToyCar/train/normal_id_02_00000698.wav,ToyCar,train,non,ToyCar_02,2861.0007,397.40686,-288.70752
8,dataset/ToyCar/train/normal_id_01_00000868.wav,ToyCar,train,non,ToyCar_01,2319.6177,52.88245,-32.984306
9,dataset/ToyCar/train/normal_id_04_00000009.wav,ToyCar,train,non,ToyCar_04,2606.6165,477.59717,-297.22528
10,dataset/ToyCar/train/normal_id_03_00000709.wav,ToyCar,train,non,ToyCar_03,1713.0554,-180.46425,158.26219
11,dataset/ToyCar/train/normal_id_03_00000654.wav,ToyCar,train,non,ToyCar_03,2302.5369,43.47758,2.8837762
12,dataset/ToyCar/train/normal_id_04_00000156.wav,ToyCar,train,non,ToyCar_04,2754.5144,383.1553,-275.50037
13,dataset/ToyCar/train/normal_id_02_00000589.wav,ToyCar,train,non,ToyCar_02,2673.0398,747.763,-429.90143
14,dataset/ToyCar/train/normal_id_03_00000944.wav,ToyCar,train,non,ToyCar_03,2126.998,14.696412,-16.42198
15,dataset/ToyCar/train/normal_id_01_00000769.wav,ToyCar,train,non,ToyCar_01,2023.4828,-122.77443,108.202194
16,dataset/ToyCar/train/normal_id_01_00000560.wav,ToyCar,train,non,ToyCar_01,2336.512,61.77369,15.117907
17,dataset/ToyCar/train/normal_id_04_00000148.wav,ToyCar,train,non,ToyCar_04,2639.3586,385.0398,-288.14484
18,dataset/ToyCar/train/normal_id_01_00000507.wav,ToyCar,train,non,ToyCar_01,1993.2756,-30.25949,24.130203
19,dataset/ToyCar/train/normal_id_04_00000633.wav,ToyCar,train,non,ToyCar_04,2573.9404,229.98169,-187.21178
20,dataset/ToyCar/train/normal_id_02_00000267.wav,ToyCar,train,non,ToyCar_02,2771.4395,559.9936,-332.6531
21,dataset/ToyCar/train/normal_id_02_00000953.wav,ToyCar,train,non,ToyCar_02,2646.543,414.76495,-287.02145
22,dataset/ToyCar/train/normal_id_04_00000915.wav,ToyCar,train,non,ToyCar_04,2589.6377,212.19394,-113.837364
23,dataset/ToyCar/train/normal_id_04_00000631.wav,ToyCar,train,non,ToyCar_04,2638.2422,480.6605,-298.24026
24,dataset/ToyCar/train/normal_id_04_00000381.wav,ToyCar,train,non,ToyCar_04,2265.5105,174.9997,-80.805016
25,dataset/ToyCar/train/normal_id_01_00000485.wav,ToyCar,train,non,ToyCar_01,2009.6963,-36.572037,31.937407
26,dataset/ToyCar/train/normal_id_03_00000195.wav,ToyCar,train,non,ToyCar_03,2871.3342,21.78044,-49.369125
27,dataset/ToyCar/train/normal_id_01_00000361.wav,ToyCar,train,non,ToyCar_01,2355.3977,61.89589,5.133965
28,dataset/ToyCar/train/normal_id_02_00000605.wav,ToyCar,train,non,ToyCar_02,2842.767,268.6887,-191.01335
29,dataset/ToyCar/train/normal_id_01_00000695.wav,ToyCar,train,non,ToyCar_01,2445.3887,-109.05436,91.924416
30,dataset/ToyCar/train/normal_id_04_00000842.wav,ToyCar,train,non,ToyCar_04,2632.6455,286.2677,-247.80843
31,dataset/ToyCar/train/normal_id_01_00000419.wav,ToyCar,train,non,ToyCar_01,1702.3319,-92.92107,120.06143
32,dataset/ToyCar/train/normal_id_02_00000964.wav,ToyCar,train,non,ToyCar_02,3085.5747,545.6423,-435.95703
33,dataset/ToyCar/train/normal_id_02_00000907.wav,ToyCar,train,non,ToyCar_02,2925.0955,525.19714,-368.4789
34,dataset/ToyCar/train/normal_id_04_00000070.wav,ToyCar,train,non,ToyCar_04,2890.6418,454.721,-322.9976
35,dataset/ToyCar/train/normal_id_01_00000092.wav,ToyCar,train,non,ToyCar_01,2329.4993,110.708435,-21.640472
36,dataset/ToyCar/train/normal_id_02_00000631.wav,ToyCar,train,non,ToyCar_02,2977.252,430.85397,-298.53836
37,dataset/ToyCar/train/normal_id_03_00000477.wav,ToyCar,train,non,ToyCar_03,2208.2085,-37.981873,-14.622507
38,dataset/ToyCar/train/normal_id_02_00000906.wav,ToyCar,train,non,ToyCar_02,2568.8403,352.56546,-173.58278
39,dataset/ToyCar/train/normal_id_03_00000375.wav,ToyCar,train,non,ToyCar_03,1941.9794,-69.541534,58.591545
40,dataset/ToyCar/train/normal_id_03_00000633.wav,ToyCar,train,non,ToyCar_03,2097.1736,-117.3775,52.813408
41,dataset/ToyCar/train/normal_id_01_00000944.wav,ToyCar,train,non,ToyCar_01,2534.1868,270.95905,-146.58817
